_id,OwnerID,OwnersAge,Breed1,DogYearOfBirth,DogGender,DogColor
5f2ca2ead764b610f2dfabed,126,51-60,Welsh Terrier,2011,f,black/brown
5f2ca2ead764b610f2dfacd7,574,61-70,Cairn Terrier,2002,f,brindle
5f2ca2ead764b610f2dfad09,695,41-50,Labrador Retriever,2012,f,brown
5f2ca2ead764b610f2dfad0f,893,61-70,Schnauzer,2010,f,black
5f2ca2ead764b610f2dfad37,1177,51-60,Shih Tzu,2011,m,black/white
5f2ca2ead764b610f2dfad3d,4004,61-70,Dachshund,2010,m,brown
5f2ca2ead764b610f2dfad3f,4050,41-50,Bichon Fris‚,2012,m,white
5f2ca2ead764b610f2dfaded,4155,61-70,Miniature Dachshund,2002,m,black/grey
5f2ca2ead764b610f2dfae00,4203,41-50,Labrador Retriever,2005,f,brown/black
5f2ca2ead764b610f2dfaebe,4215,41-50,Border Collie,2001,m,black
5f2ca2ead764b610f2dfaf26,4215,41-50,Bergamasco Shepherd,2004,f,black
5f2ca2ead764b610f2dfaf30,4215,41-50,Bergamasco Shepherd,2001,f,grey/brown
5f2ca2ead764b610f2dfafdb,4239,61-70,Pinscher,2013,f,brown/black
5f2ca2ead764b610f2dfaff1,4261,71-80,Labrador Retriever,2012,f,beige
5f2ca2ead764b610f2dfaff8,4281,61-70,Chihuahua,2011,f,light brown
5f2ca2ead764b610f2dfb0cc,4281,61-70,Chihuahua,2014,f,black/white/brown
5f2ca2ead764b610f2dfb0d7,4362,61-70,West Highland White Terrier,2002,m,white
5f2ca2ead764b610f2dfb115,4726,51-60,Mixed Breed Small,2007,m,black
5f2ca2ead764b610f2dfb13a,4726,51-60,Golden Retriever,2013,f,cream
5f2ca2ead764b610f2dfb152,4786,41-50,Weimaraner,2013,f,silver
5f2ca2ead764b610f2dfb1a3,4801,51-60,Tibetan Spaniel,2013,f,black/brown
5f2ca2ead764b610f2dfb1b4,4880,51-60,Leonberger,2011,m,golden brown
5f2ca2ead764b610f2dfb1df,4889,51-60,Shiba Inu,2003,f,red-brown
